"Date","Citations"
"5/30/2026 12:00:00 AM","283"
"5/31/2026 12:00:00 AM","75"
"6/1/2026 12:00:00 AM","181"
"6/2/2026 12:00:00 AM","246"
"6/3/2026 12:00:00 AM","229"
"6/4/2026 12:00:00 AM","194"
"6/5/2026 12:00:00 AM","343"
"6/6/2026 12:00:00 AM","324"
"6/7/2026 12:00:00 AM","215"
"6/8/2026 12:00:00 AM","224"
"6/9/2026 12:00:00 AM","247"
"6/10/2026 12:00:00 AM","235"
"6/11/2026 12:00:00 AM","222"
"6/12/2026 12:00:00 AM","324"
"6/13/2026 12:00:00 AM","220"
"6/14/2026 12:00:00 AM","207"
"6/15/2026 12:00:00 AM","222"
"6/16/2026 12:00:00 AM","201"
"6/17/2026 12:00:00 AM","220"
"6/18/2026 12:00:00 AM","221"
"6/19/2026 12:00:00 AM","230"
"6/20/2026 12:00:00 AM","179"
"6/21/2026 12:00:00 AM","232"
"6/22/2026 12:00:00 AM","231"
"6/23/2026 12:00:00 AM","264"
"6/24/2026 12:00:00 AM","293"
"6/25/2026 12:00:00 AM","215"
"6/26/2026 12:00:00 AM","362"
"6/27/2026 12:00:00 AM","125"
"6/28/2026 12:00:00 AM","198"
"6/29/2026 12:00:00 AM","155"
"6/30/2026 12:00:00 AM","159"
"7/1/2026 12:00:00 AM","212"
"7/2/2026 12:00:00 AM","169"
"7/3/2026 12:00:00 AM","240"
"7/4/2026 12:00:00 AM","210"
"7/5/2026 12:00:00 AM","143"
"7/8/2026 12:00:00 AM","128"
"7/9/2026 12:00:00 AM","178"
"7/10/2026 12:00:00 AM","301"
"7/11/2026 12:00:00 AM","267"
"7/12/2026 12:00:00 AM","343"
"7/13/2026 12:00:00 AM","371"
"7/14/2026 12:00:00 AM","553"
"7/15/2026 12:00:00 AM","525"
"7/16/2026 12:00:00 AM","1274"
"7/17/2026 12:00:00 AM","327"
"7/18/2026 12:00:00 AM","160"
"7/19/2026 12:00:00 AM","193"
"7/20/2026 12:00:00 AM","223"
"7/21/2026 12:00:00 AM","172"
"7/22/2026 12:00:00 AM","217"
"7/23/2026 12:00:00 AM","317"
"7/24/2026 12:00:00 AM","215"
"7/25/2026 12:00:00 AM","233"
"7/26/2026 12:00:00 AM","1515"
"8/7/2026 12:00:00 AM","3001"
"8/8/2026 12:00:00 AM","2955"
"8/9/2026 12:00:00 AM","3413"
"8/10/2026 12:00:00 AM","3390"
"8/11/2026 12:00:00 AM","2734"
"8/12/2026 12:00:00 AM","3777"
"8/13/2026 12:00:00 AM","4753"
"8/14/2026 12:00:00 AM","3738"
"8/15/2026 12:00:00 AM","3689"
"8/16/2026 12:00:00 AM","3944"
"8/17/2026 12:00:00 AM","4517"
"8/18/2026 12:00:00 AM","2929"
"8/19/2026 12:00:00 AM","1848"
"8/20/2026 12:00:00 AM","1613"
"8/21/2026 12:00:00 AM","3"
"8/24/2026 12:00:00 AM","762"
"8/25/2026 12:00:00 AM","3808"
"8/26/2026 12:00:00 AM","2825"
